X		Y		Z



0.0000		0.0000		0.0000

75.3411		-50.0081		0.0000

155.2199		-100.0062		0.0000

309.1097		0.0000		0.0000

384.4508		-50.0081		0.0000

464.3296		-100.0062		0.0000

619.6641		0.0000		0.0000

695.0052		-50.0081		0.0000

774.8839		-100.0062		0.0000

927.4591		0.0000		0.0000

1002.8002		-50.0081		0.0000

1082.6790		-100.0062		0.0000

1905.7182		-230.0771		0.0000

1981.0593		-280.0852		0.0000

2060.9381		-330.0833		0.0000

2214.8279		-230.0771		0.0000

2290.1690		-280.0852		0.0000

2370.0478		-330.0833		0.0000

2525.3823		-230.0771		0.0000

2600.7234		-280.0852		0.0000

2680.6021		-330.0833		0.0000

2833.1773		-230.0771		0.0000

2908.5184		-280.0852		0.0000

2988.3972		-330.0833		0.0000

3777.5786		0.0000		0.0000

3852.9197		-50.0081		0.0000

3932.7985		-100.0062		0.0000

4086.6883		0.0000		0.0000

4162.0294		-50.0081		0.0000

4241.9081		-100.0062		0.0000

4397.2427		0.0000		0.0000

4472.5837		-50.0081		0.0000

4552.4625		-100.0062		0.0000

4705.0377		0.0000		0.0000

4780.3788		-50.0081		0.0000

4860.2576		-100.0062		0.0000

4779.9567		388.6123		0.0000

4704.1499		438.5981		0.0000

4627.6298		489.3136		0.0000

4472.1617		388.6123		0.0000

4396.3548		438.5981		0.0000

4319.8348		489.3136		0.0000

4161.6073		388.6123		0.0000

4085.8004		438.5981		0.0000

4009.2804		489.3136		0.0000

3852.4976		388.6123		0.0000

3776.6908		438.5981		0.0000

3700.1707		489.3136		0.0000

2908.0963		618.9151		0.0000

2832.2895		668.9008		0.0000

2755.7695		719.6163		0.0000

2600.3013		618.9151		0.0000

2524.4944		668.9008		0.0000

2447.9744		719.6163		0.0000

2289.7469		618.9151		0.0000

2213.9401		668.9008		0.0000

2137.4200		719.6163		0.0000

1980.6372		618.9151		0.0000

1904.8304		668.9008		0.0000

1828.3104		719.6163		0.0000

1002.3781		388.6123		0.0000

926.5713		438.5981		0.0000

850.0513		489.3136		0.0000

694.5831		388.6123		0.0000

618.7762		438.5981		0.0000

542.2562		489.3136		0.0000

384.0287		388.6123		0.0000

308.2219		438.5981		0.0000

231.7018		489.3136		0.0000

74.9190		388.6123		0.0000

-0.8878		438.5981		0.0000

-77.4078		489.3136		0.0000
